participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,round 1_id_subsession,round 2_id_subsession,round 3_id_subsession,round 4_id_subsession,round 5_id_subsession,round 6_id_subsession,round 7_id_subsession,round 8_id_subsession,round 9_id_subsession,round 10_id_subsession,alpha_med,alpha_positive,beta_med,beta_positive,player.gender,player.age,player.affiliation
015SUB12,10,10,10,10,10,10,10,0,10,10,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.525,0.75,0.75,11.25,9,7.5,9,8.25,7.5,8.25,14.725,7.5,7.5,15,12,10,12,11,10,11,9,10,10,5,4,7,8,8,8,5,2,5,2,-0.0215,0,0.0555,1,男性,19,10
015SUB13,5,5,5,1,1,1,1,1,1,1,0.6,0.75,0.75,0.6,0.6,0.45,0.675,0.75,0.675,0.75,14,11,10.25,12,15.6,14.85,10.35,9.75,10.35,9.75,15,8,7,5,11,13,2,1,2,1,5,2,4,4,8,4,2,4,1,5,0.024,1,0.0555,1,男性,25,22
015SUB14,1,2,2,2,1,2,0,0,0,0,0.45,0.6,0.6,0.6,0.525,0.75,0.45,0.525,0.6,0.6,14.85,12.8,14,15.2,11.1,10.25,10.9,10.525,10,10,13,8,10,12,4,3,2,1,0,0,7,2,5,5,7,1,2,4,4,3,-0.0215,0,0.0555,1,男性,20,10
015SUB15,8,0,7,10,0,5,0,0,0,0,0.75,0.45,0.6,0.75,0.525,0.75,0.525,0.525,0.6,0.525,11.75,16.3,13.2,9,11.05,9.5,10.525,10.525,10,10.525,13,14,17,12,2,6,1,1,0,1,7,8,8,6,1,3,4,7,7,1,-0.0215,0,0.0555,1,男性,24,22
015SUB16,1,1,10,2,2,1,0,0,1,0,0.45,0.675,0.675,0.6,0.6,0.75,0.525,0.6,0.525,0.6,18.45,10.35,14.175,15.2,15.2,9.75,15.25,10,15.3,10,21,2,21,12,12,1,10,0,12,0,8,7,2,6,4,6,6,1,8,3,0.024,1,-0.0715,0,男性,23,8
015SUB17,3,2,1,1,1,1,1,1,1,1,0.6,0.6,0.6,0.75,0.6,0.6,0.6,0.75,0.675,0.75,13.6,15.2,10.8,9.75,15.6,10.8,15.6,9.75,10.35,9.75,11,12,3,1,11,3,11,1,2,1,2,4,6,2,5,1,5,5,1,8,0.024,1,-0.0715,0,男性,19,11
015SUB18,9,0,1,0,0,1,0,0,0,0,0.6,0.45,0.45,0.45,0.525,0.75,0.6,0.525,0.6,0.6,12.4,15.4,18.45,15.4,15.25,9.75,10,10.525,10,10,19,12,21,12,10,1,0,1,0,0,1,6,2,8,3,7,8,7,6,7,-0.0215,0,0.0555,1,男性,22,26
015SUB19,10,10,10,10,10,0,10,10,0,0,0.6,0.675,0.675,0.75,0.75,0.525,0.75,0.75,0.6,0.6,18,16.2,13.5,9,9,10.525,7.5,9,10,10,30,24,20,12,12,1,10,12,0,0,3,1,1,5,6,7,6,8,2,6,-0.0215,0,0.0555,1,男性,24,22
015SUB20,0,1,0,0,0,0,0,0,0,0,0.45,0.675,0.525,0.6,0.525,0.525,0.6,0.525,0.6,0.6,14.5,10.35,15.25,10,11.05,11.05,10,10.525,10,10,10,2,10,0,2,2,0,1,0,0,4,7,7,3,2,5,3,5,7,6,0.024,1,-0.0715,0,男性,24,22
015SUB21,1,0,0,0,0,0,0,0,0,0,0.6,0.6,0.45,0.525,0.45,0.525,0.525,0.525,0.6,0.6,15,10,19,10.525,14.95,10.525,15.25,14.725,10,10,10,0,20,1,11,1,10,9,0,0,4,3,1,2,8,6,6,2,3,7,-0.0215,0,0.0555,1,男性,24,22
015SUB22,10,5,0,0,0,1,1,1,1,1,0.675,0.6,0.45,0.525,0.45,0.6,0.45,0.75,0.525,0.75,13.5,13.4,13.15,10.525,14.95,12.6,11.7,9.75,15.3,9.75,20,14,7,1,11,6,6,1,12,1,6,8,4,2,5,3,7,7,8,1,-0.0215,0,0.0555,1,男性,20,7
015SUB23,9,9,8,1,10,10,3,9,10,0,0.75,0.75,0.75,0.45,0.75,0.75,0.75,0.75,0.75,0.525,8.5,11.5,9.5,14.85,9,9.75,11.5,7.75,9,15.25,10,14,10,13,12,13,6,9,12,10,4,8,5,1,4,4,7,2,8,2,-0.1995,0,0.0555,1,男性,21,10
015SUB24,10,10,10,0,10,0,0,0,0,0,0.6,0.675,0.675,0.6,0.75,0.525,0.525,0.6,0.6,0.525,18,16.2,13.5,10,8.25,15.25,15.25,10,10,10.525,30,24,20,0,11,10,10,0,0,1,3,1,1,3,5,8,1,6,3,5,0.024,1,0.0555,1,男性,22,27
015SUB25,10,10,10,10,0,0,0,0,0,3,0.75,0.6,0.675,0.75,0.45,0.45,0.45,0.45,0.525,0.6,13.5,18,16.2,13.5,17.2,17.65,15.85,14.95,11.05,14.8,18,30,24,18,16,17,13,11,2,13,15,10,13,10,15,13,14,13,16,11,-0.0215,0,0.0555,1,男性,24,22
015SUB26,5,4,4,4,4,4,4,4,4,4,0.6,0.6,0.675,0.75,0.45,0.6,0.6,0.675,0.75,0.675,12.2,16.2,12.75,11.25,13.65,15,15,12.75,11.25,12.075,12,17,10,7,17,15,15,10,7,9,13,13,14,15,11,15,12,12,10,15,10,1,-7,0,男性,29,22
015SUB27,10,10,10,10,10,10,10,10,0,0,0.6,0.6,0.675,0.75,0.675,0.6,0.75,0.75,0.45,0.6,18,18,17.55,15.75,16.875,18,11.25,12,19,10,30,30,26,21,25,30,15,16,20,0,12,12,12,12,12,12,15,11,12,10,-0.0215,0,0.0555,1,男性,24,22
015SUB28,5,5,5,5,8,10,10,10,10,10,0.6,0.75,0.675,0.45,0.75,0.75,0.75,0.675,0.75,0.75,14.6,12.5,14.45,14.45,14.75,12.75,11.25,16.2,9,10.5,16,10,14,21,17,17,15,24,12,14,9,9,11,12,11,13,12,10,9,13,-0.313,0,0.5145,1,男性,20,16
015SUB29,10,10,10,10,10,10,10,10,10,10,0.675,0.75,0.75,0.675,0.6,0.6,0.75,0.75,0.675,0.675,16.875,12.75,13.5,17.55,18,18,9.75,8.25,13.5,14.175,25,17,18,26,30,30,13,11,20,21,11,13,15,9,10,12,9,16,12,14,-0.1695,0,0.0555,1,男性,22,10
015SUB30,10,10,10,10,10,1,10,10,3,10,0.675,0.6,0.675,0.6,0.6,0.6,0.675,0.675,0.6,0.75,18.9,18,16.875,18,18,15.6,14.175,13.5,11.2,9.75,28,30,25,30,30,11,21,20,7,13,14,10,16,11,10,11,16,14,10,11,0.024,1,-0.0715,0,女性,21,12
015SUB31,10,10,10,10,10,10,0,5,10,0,0.6,0.6,0.675,0.675,0.6,0.675,0.525,0.75,0.675,0.45,18,18,17.55,17.55,18,14.175,15.25,13.25,13.5,15.85,30,30,26,26,30,21,10,11,20,13,12,10,12,16,16,9,11,15,12,11,0.024,1,0.0555,1,男性,18,4
015SUB32,6,5,2,6,0,10,1,1,1,1,0.75,0.6,0.45,0.75,0.45,0.75,0.45,0.6,0.6,0.6,13,16.4,12.5,13,19,11.25,15.75,15.6,12,11.4,12,19,10,12,20,15,15,11,5,4,13,16,14,14,13,15,12,16,14,12,-0.0215,0,0.0555,1,男性,19,10
015SUB33,10,3,6,6,10,1,5,1,2,1,0.75,0.45,0.6,0.45,0.675,0.45,0.675,0.6,0.75,0.45,15,14.65,14.8,15.7,18.9,15.75,11.75,15.6,9.5,13.05,20,17,18,26,28,15,10,11,2,9,16,13,15,16,14,15,13,9,16,15,-0.0215,0,0.0555,1,男性,21,10
015SUB34,5,7,4,6,10,7,3,4,3,4,0.525,0.6,0.45,0.45,0.75,0.6,0.6,0.6,0.525,0.675,15.5,13.2,12.3,15.7,9,14.4,16,12.6,13.3,12.075,20,17,14,26,12,19,15,11,12,9,16,14,11,9,9,14,15,15,15,15,0.024,1,0.0555,1,男性,18,4
015SUB35,10,10,10,10,10,10,10,10,10,0,0.75,0.75,0.675,0.675,0.675,0.75,0.675,0.675,0.675,0.45,12,15,14.175,17.55,18.9,14.25,13.5,13.5,14.85,11.8,16,20,21,26,28,19,20,20,22,4,9,15,9,9,14,14,10,14,13,12,-0.063,0,0.0555,1,男性,24,22
015SUB36,8,10,10,10,10,10,10,10,0,0,0.45,0.6,0.675,0.75,0.675,0.675,0.675,0.75,0.45,0.6,14.6,18,16.875,16.5,16.875,16.875,14.175,8.25,13.15,10,28,30,25,22,25,25,21,11,7,0,14,12,16,13,12,10,16,13,10,10,0.024,1,0.0555,1,どちらでもない,26,14
015SUB37,10,10,10,10,10,10,0,0,2,2,0.675,0.6,0.675,0.6,0.75,0.675,0.45,0.45,0.6,0.45,18.9,18,16.875,18,12,14.175,14.5,14.95,12.2,14.75,28,30,25,30,16,21,10,11,7,15,14,12,10,11,15,9,13,16,11,9,0.024,1,0.0555,1,どちらでもない,56,6
015SUB38,10,10,10,10,10,10,10,10,10,10,0.675,0.75,0.675,0.675,0.675,0.6,0.75,0.75,0.675,0.675,16.875,14.25,16.2,17.55,13.5,18,9.75,8.25,14.85,14.175,25,19,24,26,20,30,13,11,22,21,11,16,13,16,13,12,14,9,13,14,-0.0215,0,0.6275,1,女性,23,7
015SUB39,1,1,1,1,1,2,2,2,1,2,0.45,0.45,0.45,0.45,0.525,0.45,0.6,0.45,0.45,0.525,16.2,16.65,18.45,12.15,15.3,16.55,15.8,12.95,12.15,15.35,16,17,21,7,12,19,13,11,7,14,9,14,9,15,9,14,9,15,11,13,-0.0215,0,0.0555,1,男性,24,10
015SUB40,5,5,5,5,5,5,5,0,0,0,0.45,0.525,0.45,0.6,0.6,0.45,0.675,0.45,0.45,0.6,16.25,15.5,16.25,12.2,15.2,16.25,11.75,14.95,12.25,10,25,20,25,12,17,25,10,11,5,0,11,15,10,14,11,10,13,9,14,10,-0.0215,0,-0.0715,0,男性,21,10
015SUB41,4,5,5,6,6,0,2,4,4,0,0.525,0.525,0.45,0.6,0.6,0.45,0.45,0.675,0.75,0.45,15.45,15.5,16.25,16.6,13.6,14.95,14.75,12.75,9.75,19,18,20,25,21,16,11,15,10,5,20,15,15,16,12,15,11,15,12,14,16,-0.0215,0,0.0555,1,男性,18,16
015SUB42,4,10,4,6,10,10,10,6,6,10,0.525,0.75,0.45,0.6,0.6,0.675,0.75,0.6,0.75,0.675,15.45,10.5,16.8,14.8,18,16.875,7.5,13.6,13,13.5,18,14,24,18,30,25,10,16,12,20,15,11,13,10,16,10,11,11,15,16,0.024,1,0.0555,1,男性,18,4
015SUB43,2,2,2,2,1,1,1,2,2,2,0.525,0.525,0.45,0.45,0.525,0.45,0.45,0.45,0.45,0.525,15.35,15.35,16.1,16.1,15.3,18.45,14.85,12.5,17.9,15.35,14,14,18,18,12,21,13,10,22,14,10,11,15,10,9,9,9,12,13,13,0.024,1,-0.0715,0,女性,19,1
015SUB44,10,3,4,2,5,10,10,0,0,10,0.6,0.6,0.675,0.6,0.45,0.675,0.675,0.45,0.525,0.75,18,13,12.75,12.2,16.25,14.85,13.5,17.2,11.05,11.25,30,10,10,7,25,22,20,16,2,15,12,9,14,15,12,16,10,11,16,9,0.129,1,0.85,1,男性,18,12
015SUB45,2,4,5,6,10,7,0,1,2,1,0.525,0.45,0.675,0.525,0.6,0.6,0.525,0.6,0.6,0.45,15.35,14.55,14.45,15.55,18,13.2,15.25,15.6,15.2,18.45,14,19,14,22,30,17,10,11,12,21,10,16,11,13,10,13,11,13,9,14,-0.0215,0,0.751756,1,男性,22,22
015SUB46,10,9,10,10,10,2,0,0,0,3,0.75,0.75,0.675,0.6,0.675,0.45,0.45,0.45,0.45,0.6,10.5,13.75,14.175,18,13.5,17.9,19,19,15.4,16,14,17,21,30,20,22,20,20,12,15,10,14,9,11,13,16,10,14,9,9,-0.0215,0,0.0555,1,男性,22,9
015SUB47,1,2,6,6,8,10,3,4,4,3,0.45,0.525,0.45,0.525,0.45,0.75,0.6,0.45,0.75,0.75,14.4,15.35,15.7,15.55,14.6,8.25,14.8,16.8,11.25,10,12,14,26,22,28,11,13,24,7,4,13,11,12,13,14,11,14,10,11,12,0.024,1,0.0555,1,男性,199,10
015SUB48,5,2,10,1,10,10,1,10,3,10,0.525,0.45,0.675,0.45,0.6,0.675,0.45,0.675,0.525,0.675,15.5,12.5,16.875,14.4,18,14.85,18.45,16.2,13.3,13.5,20,10,25,12,30,22,21,24,12,20,16,9,10,14,16,16,16,10,15,16,-0.0215,0,0.0555,1,女性,24,14
